Province_TH,Province_EN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
    สุโขทัย,    Sukhothai,9933.0,8695.0,9951.0,11501.0,11757.0,13315.1,14321.0,15311.5,14905.0,17246.4
    พิษณุโลก,    Phitsanulok,11416.0,11276.0,11805.0,12163.0,13801.0,15162.7,17459.0,19927.9,19002.98,17649.6
    พิจิตร,    Phichit,10840.0,10160.0,13671.0,14798.0,13277.0,14622.9,15484.0,14791.0,18687.19,16854.3
    เพชรบูรณ์,    Phetchabun,10392.0,10946.0,12499.0,12862.0,12059.0,11422.5,13879.0,13788.9,15598.93,16140.8
    นครราชสีมา,    Nakhon Ratchasima,10154.0,11305.0,13228.0,13939.0,13665.0,14250.8,15397.0,15618.2,17771.26,18645.4
    บุรีรัมย์,    Buri Ram,8632.0,8537.0,10727.0,10427.0,12228.0,13628.5,12939.0,14342.9,13951.72,16086.5
    สุรินทร์,    Surin,12028.0,12116.0,12579.0,12038.0,14536.0,14400.5,14746.0,18583.8,17068.78,18536.9
    ศรีสะเกษ,    Si Sa Ket,9316.0,9070.0,8679.0,8725.0,9765.0,11671.8,12837.0,13367.5,14609.03,18124.4
    อุบลราชธานี,    Ubon Ratchathani,9255.0,10399.0,10943.0,11343.0,13278.0,16029.6,14755.0,13586.5,15477.57,13848.2
    ยโสธร,    Yasothon,8914.0,9209.0,10429.0,10101.0,11631.0,12842.2,12110.0,12549.1,15867.23,14453.2
    ชัยภูมิ,    Chaiyaphum,8842.0,9344.0,9952.0,10324.0,13086.0,12145.0,16090.0,15022.1,17162.94,16332.1
    อำนาจเจริญ,    Amnat Charoen,10361.0,10224.0,12516.0,12772.0,13989.0,14862.1,14240.0,14161.8,17528.52,17029.2
    บึงกาฬ,    Bungkan,,,,,,,17098.0,20282.5,20073.17,23696.6
    หนองบัวลำภู,    Nong Bua Lam Phu,11250.0,11717.0,13114.0,13302.0,15955.0,16381.3,13356.0,13663.7,17622.34,18760.7
    ขอนแก่น,    Khon Kaen,9335.0,11247.0,13803.0,13892.0,13483.0,12866.4,12677.0,13914.7,15700.07,16880.0
    อุดรธานี,    Udon Thani,12257.0,14759.0,14353.0,17307.0,20697.0,19086.3,18347.0,21438.9,21619.51,22535.1
    เลย,    Loei,12187.0,12341.0,12211.0,11181.0,12871.0,15155.4,14314.0,14916.2,15789.06,16231.7
    หนองคาย,    Nong Khai,12281.0,12131.0,12231.0,13598.0,14340.0,15516.6,15012.0,15670.3,18360.73,19277.7
    มหาสารคาม,    Maha Sarakham,10579.0,11605.0,11770.0,12692.0,12863.0,16636.4,14714.0,15506.2,14253.58,14654.2
    ร้อยเอ็ด,    Roi Et,10053.0,10638.0,12565.0,12176.0,13826.0,15475.7,16708.0,15347.5,17761.85,17755.5
    กาฬสินธุ์,    Kalasin,10232.0,10099.0,9985.0,9186.0,10621.0,13028.1,11151.0,12445.2,12178.38,12746.6
    สกลนคร,    Sakon Nakhon,11006.0,10916.0,11389.0,12623.0,11007.0,12336.9,11233.0,13021.3,13474.68,14549.0
    นครพนม,    Nakhon Phanom,10256.0,9652.0,12573.0,10868.0,11665.0,12049.2,10826.0,11447.1,12562.25,13973.1
    มุกดาหาร,    Mukdahan,12211.0,11818.0,12463.0,13188.0,15094.0,15637.4,13016.0,13146.4,15202.76,17767.0
    นครศรีธรรมราช,    Nakhon Si Thammarat,14918.0,14990.0,16841.0,18763.0,19225.0,20755.9,22102.0,19364.2,20661.17,19828.7
    กระบี่,    Krabi,14849.0,15553.0,16989.0,19377.0,21454.0,19811.6,19536.0,20835.7,32836.66,28403.2
    พังงา,    Phangnga,15979.0,17870.0,17400.0,15100.0,19675.0,19271.6,19209.0,17899.6,21719.34,20716.9
    ภูเก็ต,    Phuket,19492.0,19329.0,22536.0,23783.0,22260.0,21254.7,27151.0,25337.5,28111.37,27435.4
    สุราษฎร์ธานี,    Surat Thani,16245.0,18133.0,20983.0,19720.0,20852.0,22825.9,27927.0,28118.6,26410.48,26165.3
    ระนอง,    Ranong,15101.0,16358.0,13962.0,16218.0,19619.0,23602.3,20343.0,22586.6,18246.94,18616.9
    ชุมพร,    Chumphon,14044.0,15074.0,15681.0,16452.0,18654.0,20567.3,23952.0,22552.3,23985.4,24541.8
    สงขลา,    Songkhla,18111.0,18668.0,19534.0,18929.0,19488.0,20612.1,21383.0,21669.8,21744.26,23617.3
    สตูล,    Satun,11737.0,14716.0,17497.0,18043.0,19031.0,18954.4,20190.0,22714.7,19715.22,19591.2
    ตรัง,    Trang,18370.0,19149.0,18632.0,17085.0,18187.0,22686.6,19618.0,20922.3,17107.1,19794.9
    พัทลุง,    Phattalung,18124.0,15750.0,13743.0,17613.0,17442.0,18111.6,18404.0,16635.7,18514.03,17143.3
    ปัตตานี,    Pattani,11490.0,12531.0,11765.0,13784.0,11928.0,14011.7,14119.0,16668.1,14809.34,15341.1
    ยะลา,    Yala,13077.0,11990.0,12337.0,10580.0,12576.0,14776.7,12883.0,12521.7,12370.15,13453.9
    นราธิวาส,    Narathiwat,8201.0,9711.0,11302.0,10486.0,12162.0,13901.0,12686.0,13727.8,11985.95,13717.4
